State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
CT,New Haven County,9,9,6/4/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/5/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/6/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/7/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/8/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/9/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/10/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/11/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/12/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/13/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/14/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/15/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/16/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
